=== CLIENTS ===
client_id,name,internal_account_code,created_at,updated_at
CL96926C3D3718,1000 Hills Spar,RE-COR-RAW-SPR-3708,2025-09-16T20:01:51.082695+00:00,2025-09-16T20:01:51.082697+00:00
CL06723C3C1414,3 Amigo's,BU-IND-RAW-NA-1407,2025-09-16T20:01:47.826687+00:00,2025-09-16T20:01:47.826689+00:00
CL97E301503259,4 Ways Cafe,RE-IND-RAW-NA-3256,2025-09-16T20:01:50.361872+00:00,2025-09-16T20:01:50.361874+00:00
CL596DD01C2110,844503621,RE-COR-RAW-MAK-2106,2025-09-16T20:01:49.138554+00:00,2025-09-16T20:01:49.138556+00:00
CL7338303C1211,A.L. Botha,RE-COR-RAW-NA-1204,2025-09-16T20:01:47.824999+00:00,2025-09-16T20:01:47.825001+00:00
CLBD6AE2D30005,A1 Eggs,FA-IND-EGG-NA-0005,2025-09-16T20:01:46.443833+00:00,2025-09-16T20:01:46.443835+00:00
CL218EAE7D3280,A1 Food Center Acornhoek,RE-IND-RAW-NA-3277,2025-09-16T20:01:50.362050+00:00,2025-09-16T20:01:50.362052+00:00
CL3370248A3260,A1 Food Store,RE-IND-RAW-NA-3257,2025-09-16T20:01:50.361880+00:00,2025-09-16T20:01:50.361883+00:00
CLC75A333C4232,A1 Food Store Mkhuhlu,RE-IND-EGG-NA-4239,2025-09-16T20:01:51.740574+00:00,2025-09-16T20:01:51.740576+00:00
CLBC50AC1B0707,A1 Supermarket,RE-IND-RAW-NA-0700,2025-09-16T20:01:47.180234+00:00,2025-09-16T20:01:47.180236+00:00
CLFFDC1CE21459,AAA Meat - Bloemfontein,BU-IND-RAW-NA-1452,2025-09-16T20:01:47.827061+00:00,2025-09-16T20:01:47.827064+00:00
CL238DD5912921,AAA Meat North,BU-IND-RAW-NA-2915,2025-09-16T20:01:49.749418+00:00,2025-09-16T20:01:49.749420+00:00
CL51D811042922,AAA Meat vleis South,BU-IND-RAW-NA-2916,2025-09-16T20:01:49.749427+00:00,2025-09-16T20:01:49.749429+00:00
CL511EEC624195,AB Supermarket,RE-IND-EGG-NA-4198,2025-09-16T20:01:51.740079+00:00,2025-09-16T20:01:51.740081+00:00
CL6635E6490011,AEO Beckley and son,FA-IND-RAW-NA-0011,2025-09-16T20:01:46.443887+00:00,2025-09-16T20:01:46.443889+00:00
