Client Name,Client ID,Account Code,Email,Created Date
Amadeus Butchery Sechaba Mall,SQL-2622,-,admin2@amadeusmeat.co.za,2025-12-15 18:05
Boxer Superstore Kimberley 2,SQL-4099,-,palesa.mpana@afsq.co.za,2025-12-15 18:05
Boxer Superstores 01,SQL-2769,-,PTB001@boxer.co.za,2025-12-15 18:05
Boxer Superstores- Tshwane mall deneboom,SQL-4945,-,-,2025-12-15 18:05
Boxer Whittlesea,SQL-4179,-,palesa.mpana@fsa-pty.co.za,2025-12-15 18:05
Boxer superstore Bridge City Mall,SQL-4784,-,simphiwe.mathenjwa@fsa-pty.co.za,2025-12-15 18:05
Brito's Meat Centre George,SQL-2605,-,leoni@britos.co.za,2025-12-15 18:05
Britos Kuilsriver,SQL-2999,-,cornel@britos.co.za,2025-12-15 18:05
Chester Butchery Victoria street,SQL-4203,-,fundiswa@chestersa.com,2025-12-15 18:05
Deli-co Bistro,SQL-4965,-,-,2025-12-15 18:05
Don't worry,SQL-4187,-,berhanuruth99@gmail.com,2025-12-15 18:05
Ebenezer Supermarket,SQL-4180,-,saaymanjovan07@gmail.com,2025-12-15 18:05
Farmer's meat market,SQL-4206,-,admin@fmmarket.co.za,2025-12-15 18:05
Fenwick butchery,SQL-2333,-,cobus.supra@gmail.com,2025-12-15 18:05
Foodpoint Supermarket,SQL-4178,-,foodpoint@gmail.com,2025-12-15 18:05
Georgies,SQL-822,-,-,2025-12-15 18:05
Herries,SQL-4316,-,rina@herries.co.za,2025-12-15 18:05
Kroon Henne,SQL-111,-,None,2025-12-15 18:05
MRR Lifestyle Supermarket,SQL-4183,-,mrrmeat@ymail.com,2025-12-15 18:05
Mashaallah cash store,SQL-4205,-,atesfayeayele@gmail.com,2025-12-15 18:05
Meat Town,SQL-2949,-,tinomartins39@gmail.com,2025-12-15 18:05
Mega Superspar Philani,SQL-4311,-,bheki@megasuperspar.com,2025-12-15 18:05
OBC Meat & Chicken - KwaBhaca Mall,SQL-1459,-,-,2025-12-15 18:05
Oom Schalk Se Slaghuis,SQL-2201,-,-,2025-12-15 18:05
PNP Doringkloof Mall,SQL-4130,-,palesa.mpana@afsq.co.za,2025-12-15 18:05
Parkside Butchery East London,SQL-2996,-,parksidebutchery@gmail.com,2025-12-15 18:05
Pick ' n Pay - Walmer Park,SQL-2003,-,-,2025-12-15 18:05
Pick 'n Pay - Ferndale,SQL-1999,-,-,2025-12-15 18:05
Pick 'n Pay - Junction Mall,SQL-1924,-,-,2025-12-15 18:05
Pick 'n Pay - Oudtshoorn,SQL-1982,-,-,2025-12-15 18:05
Pick 'n Pay - Sanbury Square,SQL-869,-,-,2025-12-15 18:05
Pick N Pay Qualisave Diepsloot,SQL-4870,-,gd22man@pnp.co.za,2025-12-15 18:05
Pick n Pay - Langeberg ,SQL-4280,-,langeberg@pnp.co.za,2025-12-15 18:05
Pick n Pay Langeberg Mall Mossell bay ,SQL-4275,-,langeberg@pnp.co.za,2025-12-15 18:05
Roots Butchery - Golden Highway,SQL-1786,-,-,2025-12-15 18:05
SUPERSPAR - Menlopark,SQL-733,-,-,2025-12-15 18:05
Salami loaf bulk,SQL-4185,-,steyn23@gmail.com,2025-12-15 18:05
Shoprite - Yarona,SQL-1022,-,-,2025-12-15 18:05
Spar Langenhovenpark,SQL-3907,-,langenhoven1@retail.spar.co.za,2025-12-15 18:05
Spargs Superspar Queenstown,SQL-4182,-,vikesh@spargs.co.za,2025-12-15 18:05
Springboks Supermarket,SQL-4186,-,061tinsu@gmail.com,2025-12-15 18:05
Super veggies meat cc,SQL-4204,-,supervegiemeat@gmail.com,2025-12-15 18:05
UMac,SQL-2975,-,leaskretha@gmail.com,2025-12-15 18:05
Visagé Poultry,SQL-1020,-,-,2025-12-15 18:05
Waltloo Meat and Chicken,SQL-4103,-,waltloortb1@hotmail.com,2025-12-15 18:05
Watloo meat and chicken Mini Bloemfontein,SQL-3130,-,wmcmini@waltloo.com,2025-12-15 18:05
